path,x,y
../Rocks-CENTERED/000232.png,44,24
../Rocks-CENTERED/002425.png,42,32
../Rocks-CENTERED/004054.png,7,24
../Rocks-CENTERED/004732.png,23,34
../Rocks-CENTERED/002343.png,50,17
../Rocks-CENTERED/000554.png,43,68
../Rocks-CENTERED/001892.png,10,27
../Rocks-CENTERED/000540.png,63,69
../Rocks-CENTERED/001886.png,5,56
../Rocks-CENTERED/004726.png,29,37
../Rocks-CENTERED/003049.png,26,7
../Rocks-CENTERED/002357.png,61,68
../Rocks-CENTERED/002431.png,1,27
../Rocks-CENTERED/004040.png,67,23
../Rocks-CENTERED/000226.png,34,12
../Rocks-CENTERED/001138.png,64,21
../Rocks-CENTERED/002419.png,19,23
../Rocks-CENTERED/003707.png,1,33
../Rocks-CENTERED/004068.png,24,41
../Rocks-CENTERED/001110.png,24,43
../Rocks-CENTERED/001676.png,57,8
../Rocks-CENTERED/000568.png,20,23
../Rocks-CENTERED/003061.png,65,33
../Rocks-CENTERED/003075.png,12,39
../Rocks-CENTERED/001662.png,67,6
../Rocks-CENTERED/001104.png,63,36
../Rocks-CENTERED/003713.png,44,15
../Rocks-CENTERED/004097.png,43,35
../Rocks-CENTERED/003920.png,43,41
../Rocks-CENTERED/000597.png,63,64
../Rocks-CENTERED/001851.png,42,14
../Rocks-CENTERED/001689.png,15,66
../Rocks-CENTERED/002380.png,37,38
../Rocks-CENTERED/002394.png,35,27
../Rocks-CENTERED/000583.png,1,62
../Rocks-CENTERED/001845.png,24,15
../Rocks-CENTERED/004083.png,28,55
../Rocks-CENTERED/003934.png,29,15
../Rocks-CENTERED/004915.png,25,52
../Rocks-CENTERED/001879.png,67,10
../Rocks-CENTERED/004901.png,32,67
../Rocks-CENTERED/003908.png,16,39
../Rocks-CENTERED/000756.png,58,34
../Rocks-CENTERED/001448.png,30,11
../Rocks-CENTERED/002141.png,63,13
../Rocks-CENTERED/004530.png,60,14
../Rocks-CENTERED/004256.png,47,60
../Rocks-CENTERED/003539.png,3,39
../Rocks-CENTERED/002627.png,15,9
../Rocks-CENTERED/000030.png,39,54
../Rocks-CENTERED/000024.png,52,13
../Rocks-CENTERED/004242.png,53,64
